gen_model,K_true,hierch,kappa_mean,psi_mean,fit_model,n_reps,ari,vi,nvi,exact_K,K_abs_err,looic,pk_bad
WST,5,weak,0.75,0.2,DC-SBM,3,0.9687282515013667,1.4746440565283134,0.6350946266490001,0.3333333333333333,2.3333333333333335,5114.408534457623,0.01732580037664784
WST,5,weak,1.5,0.2,WST,3,0.9720969826906707,0.244353182989506,0.10523718780419843,0.6666666666666666,0.33333333333333337,7863.2851128715265,0.0071563088512241035
WST,5,weak,1.5,0.2,SST,3,0.9720969826906707,0.244353182989506,0.10523718780419843,0.6666666666666666,0.33333333333333337,7887.7782344602765,0.010734463276836147
WST,5,weak,1.5,0.2,DC-SBM,3,0.9720969826906707,0.244353182989506,0.10523718780419843,0.6666666666666666,0.33333333333333337,7859.835093237673,0.01374764595103579
WST,5,weak,3,0.2,WST,3,0.9127735068007097,0.13333333333333336,0.05742354107645241,0.6666666666666666,0.33333333333333337,9784.662120035016,0.00433145009416196
WST,5,weak,3,0.2,SST,3,0.9127735068007097,0.13333333333333336,0.05742354107645241,0.6666666666666666,0.33333333333333337,9817.73111376594,0.00564971751412429
WST,5,weak,3,0.2,DC-SBM,3,0.9127735068007097,0.13333333333333336,0.05742354107645241,0.6666666666666666,0.33333333333333337,9780.722215635737,0.0013182674199623367
WST,5,weak,6,0.2,WST,3,0.985738457819676,0.055844269615688,0.02405081782620707,1,0,12006.352793324,7.532956685499068e-4
WST,5,weak,6,0.2,SST,3,0.985738457819676,0.055844269615688,0.02405081782620707,1,0,12079.9865305709,1.8832391713747334e-4
WST,5,weak,6,0.2,DC-SBM,3,1,0,0,1,0,11996.855099893999,0
WST,8,medium,0.75,0.7,WST,3,0.642602602976019,1.1559927639539824,0.3853309213179941,0.6666666666666666,0.6666666666666667,5144.165420202216,0.014312617702448212
WST,8,medium,0.75,0.7,SST,3,0.5805336636380963,1.4308769986414116,0.4769589995471372,0.3333333333333333,1.3333333333333333,5157.709432940017,0.01186440677966103
WST,8,medium,0.75,0.7,DC-SBM,3,0.7161568085780143,1.71055161361538,0.5701838712051266,0,4,5232.667142964883,0.0265536723163842
WST,8,medium,1.5,0.7,WST,3,1,0,0,1,0,7458.2042504881765,0.004896421845574403
WST,8,medium,1.5,0.7,SST,3,1,0,0,1,0,7518.938004490523,0.0062146892655367235
WST,8,medium,1.5,0.7,DC-SBM,3,0.8481564456528127,0.390869228709988,0.13028974290332934,0.3333333333333333,1,7549.280514066253,0.0062146892655367235
WST,8,medium,3,0.7,WST,3,1,0,0,1,0,9943.08090453117,0.003766478342749527
WST,8,medium,3,0.7,SST,3,1,0,0,1,0,9976.474675243797,0.005461393596986817
WST,8,medium,3,0.7,DC-SBM,3,1,0,0,1,0,9941.077950770527,0.003389830508474577
WST,8,medium,6,0.7,WST,3,1,0,0,1,0,12736.951167308232,5.649717514124299e-4
WST,8,medium,6,0.7,SST,3,0.900101591601761,0.16613193866360598,0.055377312887868665,0.6666666666666666,0.6666666666666667,13007.7166069062,0.0022598870056497163
WST,8,medium,6,0.7,DC-SBM,3,1,0,0,1,0,12709.339807795233,0
WST,8,strong,0.75,1.3,WST,3,0.8928404709695593,0.49304508857161133,0.16434836285720378,0.3333333333333333,1,5070.061628266127,0.009604519774011314
WST,8,strong,0.75,1.3,SST,3,0.918493633412776,0.45127479448466673,0.1504249314948889,0,1,5035.501147682733,0.0167608286252354
WST,8,strong,0.75,1.3,DC-SBM,3,0.8928404709695593,0.48508031258941203,0.161693437529804,0.3333333333333333,1,5058.11950652358,0.028813559322033867
WST,8,strong,1.5,1.3,WST,3,0.9481944901767093,0.08306596933180299,0.027688656443934333,0.6666666666666666,0.33333333333333337,6956.529682329753,0.005084745762711867
WST,8,strong,1.5,1.3,SST,3,0.9522481572584807,0.16630501863642133,0.055435006212140446,1,0,6946.0557121122065,0.00941619585687382
WST,8,strong,1.5,1.3,DC-SBM,3,0.8948256601620993,0.171954858220692,0.057318286073564,0.6666666666666666,0.6666666666666667,6966.2971214156205,0.01016949152542372
WST,8,strong,3,1.3,WST,3,0.9875967437813923,0.047167916642628,0.015722638880876,1,0,9768.97558307933,9.416195856873801e-4
WST,8,strong,3,1.3,SST,3,0.9875967437813923,0.047167916642628,0.015722638880876,1,0,9803.027158614153,0.0016949152542372866
WST,8,strong,3,1.3,DC-SBM,3,1,0.15555555555555534,0.05185185185185178,0.3333333333333333,0.6666666666666666,9805.639574327966,0
WST,8,strong,6,1.3,WST,3,1,0,0,1,0,12120.320435291467,5.649717514124299e-4
WST,8,strong,6,1.3,SST,3,1,0,0,1,0,12234.406960636767,0
WST,8,strong,6,1.3,DC-SBM,3,0.9539525030661167,0.07777777777777767,0.025925925925925887,0.6666666666666666,0.33333333333333337,12193.313446791999,0
WST,8,weak,0.75,0.2,WST,3,0.6278523678884836,1.5175405371139667,0.5058468457046555,0,2,5369.981538515343,0.005084745762711863
WST,8,weak,0.75,0.2,SST,3,0.6221425415592263,1.4351098912712268,0.4783699637570756,0,1.6666666666666667,5367.052337016934,0.00696798493408663
WST,8,weak,0.75,0.2,DC-SBM,3,0.588857411278523,2.266294910660757,0.7554316368869188,0,4,5442.837098415146,0.025235404896421867
WST,8,weak,1.5,0.2,WST,3,0.8016888351951253,0.5639475143089963,0.18798250476966544,0.3333333333333333,0.6666666666666666,7779.809824518747,0.010169491525423704
WST,8,weak,1.5,0.2,SST,3,0.7039007880034344,0.7202872613393654,0.24009575377978845,0.6666666666666666,0.6666666666666667,7821.539062353117,0.011676082862523529
WST,8,weak,1.5,0.2,DC-SBM,3,0.7703606849600143,0.7870316420734117,0.26234388069113723,0.3333333333333333,1.3333333333333333,7798.71737717621,0.011487758945386077
WST,8,weak,3,0.2,WST,3,0.9866128153929933,0.04831683939551966,0.01610561313183989,1,0,9830.321866707924,0.0024482109227871936
WST,8,weak,3,0.2,SST,3,1,0,0,1,0,9834.57563437755,0.00263653483992467
WST,8,weak,3,0.2,DC-SBM,3,0.9399920540325784,0.1270991142143197,0.042366371404773215,0.6666666666666666,0.33333333333333337,9876.729027415096,0.0024482109227871936
WST,8,weak,6,0.2,WST,3,1,0,0,1,0,13076.2124852679,0
WST,8,weak,6,0.2,SST,3,1,0,0,1,0,13156.8246458284,0
WST,8,weak,6,0.2,DC-SBM,3,0.9361402749215283,0.16666666666666669,0.05555555555555555,0.6666666666666666,0.6666666666666667,13254.5922002942,0
SST,3,medium,0.75,0.7,WST,4,0.812152397270167,1.188158869398852,0.7496447826735592,0,1.5,5936.911721261553,0.00310734463276836
SST,3,medium,0.75,0.7,SST,4,0.8286171305613983,1.1189827581236291,0.7059995158336511,0.25,1.25,5939.394626808962,0.0029661016949152526
SST,3,medium,0.75,0.7,DC-SBM,4,0.8788003286770747,1.3553885422075367,0.8551549589285781,0,1.75,5973.863061049543,0.018220338983050824
SST,3,medium,1.5,0.7,WST,4,0.9754618684878733,0.07937018993357933,0.05007701437571298,1,0,7260.383613867687,0.011016949152542383
SST,3,medium,1.5,0.7,SST,4,0.9754618684878733,0.07937018993357933,0.05007701437571298,1,0,7257.6256967313775,0.013276836158192099
SST,3,medium,1.5,0.7,DC-SBM,4,0.9754618684878733,0.07937018993357933,0.05007701437571298,1,0,7252.03709414054,0.014830508474576275
SST,3,medium,3,0.7,WST,4,0.9747813506937595,0.09606702602438222,0.06061154505590626,1,0,9235.978053820767,0.0019774011299435023
SST,3,medium,3,0.7,SST,4,0.9509237369757465,0.15874037986715822,0.10015402875142569,1,0,9234.941673673678,0.0032485875706214674
SST,3,medium,3,0.7,DC-SBM,4,0.962852543834753,0.12740370294577022,0.08038278690366597,1,0,9232.083172232236,0.00663841807909605
SST,3,medium,6,0.7,WST,3,0.966375134258346,0.12808936803250948,0.08081539340787493,1,0,12723.7079909699,0.00244821092278719
SST,3,medium,6,0.7,SST,3,0.966375134258346,0.12808936803250948,0.08081539340787493,1,0,12724.226544632533,0.0015065913370998136
SST,3,medium,6,0.7,DC-SBM,3,0.9504097893513953,0.19133222051223514,0.12071719073806428,1,0,12727.748858743233,0
SST,3,strong,0.75,1.3,WST,4,0.8846989794966512,0.19053307975966333,0.12021298905997524,1,0,5597.997953691052,0.02076271186440676
SST,3,strong,0.75,1.3,SST,4,0.8846989794966512,0.19053307975966333,0.12021298905997524,1,0,5596.5942208672395,0.024858757062146887
SST,3,strong,0.75,1.3,DC-SBM,4,0.9744815277139041,0.09635338332046484,0.060792216394157064,1,0,5577.386822030205,0.028107344632768375
SST,3,strong,1.5,1.3,WST,4,0.8661910040239544,0.21470017967885796,0.13546073145652948,0.75,0.25,6977.044351127605,0.005790960451977403
SST,3,strong,1.5,1.3,SST,4,0.8661910040239544,0.21470017967885796,0.13546073145652948,0.75,0.25,6972.859591185181,0.007627118644067802
SST,3,strong,1.5,1.3,DC-SBM,4,0.8661910040239544,0.21470017967885796,0.13546073145652948,0.75,0.25,6968.923179940877,0.012429378531073444
SST,3,strong,3,1.3,WST,3,0.8277057857273227,0.36509910095268694,0.23035188579323942,0.6666666666666666,0.33333333333333337,9756.175568514527,0.0062146892655367235
SST,3,strong,3,1.3,SST,3,0.8625420657520063,0.40675319610047034,0.2566326937800724,1,0,9752.379479960324,0.005838041431261774
SST,3,strong,3,1.3,DC-SBM,3,0.8312348727477203,0.4049666945501137,0.2555055367971509,0.6666666666666666,0.33333333333333337,9762.643889252942,0.0032015065913370997
SST,3,strong,6,1.3,WST,3,1,4.44089209850063e-16,2.8018909573444354e-16,1,0,12965.947188092634,7.532956685499068e-4
SST,3,strong,6,1.3,SST,3,1,4.44089209850063e-16,2.8018909573444354e-16,1,0,12964.9171869184,0
SST,3,strong,6,1.3,DC-SBM,3,1,4.44089209850063e-16,2.8018909573444354e-16,1,0,12963.424245221833,0
SST,3,weak,0.75,0.2,WST,4,0.963565916890725,0.5229936722193382,0.32997226873277863,0.75,0.5,6255.40312267411,0.005084745762711862
SST,3,weak,0.75,0.2,SST,4,0.963565916890725,0.5229936722193382,0.32997226873277863,0.75,0.5,6248.409149764082,0.005932203389830505
SST,3,weak,0.75,0.2,DC-SBM,4,0.8707299497526585,0.6827270819409803,0.4307528295655829,0.5,0.75,6254.93623428481,0.02344632768361582
SST,3,weak,1.5,0.2,WST,4,0.9836794620818793,0.21045643752240933,0.13278322826354055,0.75,0.25,7809.202958710468,0.0018361581920903975
SST,3,weak,1.5,0.2,SST,4,0.9836794620818793,0.21045643752240933,0.13278322826354055,0.75,0.25,7807.71530931123,0.004378531073446332
SST,3,weak,1.5,0.2,DC-SBM,4,0.9836794620818793,0.21045643752240933,0.13278322826354055,0.75,0.25,7804.17290658864,0.0024011299435028203
SST,3,weak,3,0.2,WST,4,1,0.16666666666666707,0.10515495892857649,0.75,0.25,9638.097141025894,0.004378531073446325
SST,3,weak,3,0.2,SST,4,1,0.16666666666666707,0.10515495892857649,0.75,0.25,9637.367623721719,0.003954802259887008
SST,3,weak,3,0.2,DC-SBM,4,1,0.16666666666666707,0.10515495892857649,0.75,0.25,9642.934886031733,0.003389830508474575
SST,3,weak,6,0.2,WST,3,0.9523247941645373,0.13914045379849227,0.0877878522269035,1,0,13815.032589124867,0.00376647834274953
SST,3,weak,6,0.2,SST,3,0.9523247941645373,0.13914045379849227,0.0877878522269035,1,0,13813.446062858033,0.00376647834274954
SST,3,weak,6,0.2,DC-SBM,3,0.9523247941645373,0.13914045379849227,0.0877878522269035,1,0,13813.586794289866,0.0032015065913370997
SST,5,medium,0.75,0.7,WST,3,0.7421242214721763,0.8779181303026483,0.3780987586289732,0.3333333333333333,1.3333333333333333,4945.388899308743,0.010169491525423737
SST,5,medium,0.75,0.7,SST,3,0.737100723811454,0.9720120622278606,0.4186228093661158,0.3333333333333333,1.6666666666666667,4952.543040170737,0.008474576271186458
SST,5,medium,0.75,0.7,DC-SBM,3,0.653733860512285,1.0552309749696884,0.45446324427237617,0,2,4982.352341121797,0.03483992467043316
SST,5,medium,1.5,0.7,WST,3,0.7870289058177979,0.7992112830489977,0.34420156455696266,0,1.3333333333333333,7619.038023614314,0.011487758945386064
SST,5,medium,1.5,0.7,SST,3,0.7962310226322946,0.7786218806228593,0.3353341915872854,0,1.3333333333333333,7617.926910409064,0.008286252354048984
SST,5,medium,1.5,0.7,DC-SBM,3,0.788552395358089,0.8537830215853827,0.3677043330778941,0,1.3333333333333333,7610.491824350176,0.00753295668549906
SST,5,medium,3,0.7,WST,3,0.9584236430048613,0.166195429696657,0.07157647562928482,1,0,10113.43338088682,0.007721280602636537
SST,5,medium,3,0.7,SST,3,0.971476915639352,0.111688539231376,0.04810163565241415,1,0,10107.12610093343,0.0062146892655367296
SST,5,medium,3,0.7,DC-SBM,3,0.9584236430048613,0.166195429696657,0.07157647562928482,1,0,10110.37555542936,0.0060263653483992406
SST,5,medium,6,0.7,WST,3,1,0,0,1,0,12706.376871709466,5.649717514124299e-4
SST,5,medium,6,0.7,SST,3,1,0,0,1,0,12704.7226203849,0
SST,5,medium,6,0.7,DC-SBM,3,1,0,0,1,0,12704.158650238965,0
SST,5,strong,0.75,1.3,WST,3,0.7175675410408594,0.9095035265585036,0.3917018483738292,0.6666666666666666,0.33333333333333337,5676.894156749399,0.00583804143126178
SST,5,strong,0.75,1.3,SST,3,0.7678161923349384,1.0552022323182004,0.4544508654861635,0.6666666666666666,0.6666666666666667,5678.439283501223,0.007532956685499062
SST,5,strong,0.75,1.3,DC-SBM,3,0.8342468272826884,1.0988730063378869,0.473258844129363,0.3333333333333333,1.6666666666666667,5704.118043531636,0.0216572504708098
SST,5,strong,1.5,1.3,WST,3,0.8571258261368463,0.49750647869469666,0.21426437786344582,0.6666666666666666,0.6666666666666667,7377.828317371396,0.011487758945386057
SST,5,strong,1.5,1.3,SST,3,0.8451730418943534,0.4329472848299867,0.18646024645779963,0.6666666666666666,0.33333333333333337,7365.1937063380765,0.010922787193973627
SST,5,strong,1.5,1.3,DC-SBM,3,0.8539889184076966,0.6693242444560067,0.2882622618373873,0.3333333333333333,1,7472.073229807307,0.019774011299435033
SST,5,strong,3,1.3,WST,3,0.9675555155623543,0.22268715533296035,0.0959061375859544,0.6666666666666666,0.33333333333333337,9808.798633725577,0.005273069679849343
SST,5,strong,3,1.3,SST,3,0.9675555155623543,0.22268715533296035,0.0959061375859544,0.6666666666666666,0.33333333333333337,9802.036418066096,0.0033898305084745766
SST,5,strong,3,1.3,DC-SBM,3,0.9675555155623543,0.22268715533296035,0.0959061375859544,0.6666666666666666,0.33333333333333337,9804.303276305303,0.0015065913370998134
SST,5,strong,6,1.3,WST,3,0.985738457819676,0.055844269615688,0.02405081782620707,1,0,13478.009069666567,0
SST,5,strong,6,1.3,SST,3,0.985738457819676,0.055844269615688,0.02405081782620707,1,0,13469.508471994433,0
SST,5,strong,6,1.3,DC-SBM,3,1,0,0,1,0,13469.469072927734,0
SST,5,weak,0.75,0.2,WST,3,0.844303428440623,0.618914948957597,0.26655215995722764,0.3333333333333333,0.6666666666666666,5027.839381909983,0.013559322033898303
SST,5,weak,0.75,0.2,SST,3,0.8522343444612304,0.594966052014994,0.256237931452333,0.3333333333333333,0.6666666666666666,5022.572581855937,0.015065913370998133
SST,5,weak,0.75,0.2,DC-SBM,3,0.7971671392510027,0.7449646000982987,0.320838789856857,0,1,5013.8936370348965,0.04783427495291903
SST,5,weak,1.5,0.2,WST,3,0.8937231086279783,0.3780205702065283,0.16280459805748906,0.3333333333333333,0.6666666666666666,8209.09866496135,0.017514124293785318
