gen_model,K_true,hierch,psi_mean,kappa_mean,rep_id,looic__WST,looic__SST,looic__DC-SBM,elpd__WST,elpd__SST,elpd__DC-SBM,pk_bad__WST,pk_bad__SST,pk_bad__DC-SBM,best_rep_looic,win_WST,win_SST,win_DC,split,win_credit_WST,win_credit_SST,win_credit_DC,dloo_WST_vs_SST,dloo_WST_vs_DC,dloo_SST_vs_DC,ordered_best_rep,dloo_ordered_best_vs_DC
SST,5,weak,0.2,3,1,10105.2894935628,10097.3340839161,10102.5161284062,-5052.64474678138,-5048.66704195807,-5051.25806420312,0.00790960451977401,0.00338983050847458,0,10097.3340839161,FALSE,TRUE,FALSE,1,0,1,0,7.955409646699991,2.7733651565995388,-5.182044490100452,10097.3340839161,-5.182044490100452
SST,5,medium,0.7,3,1,9893.12869807787,9894.41364705777,9890.36803506013,-4946.56434903893,-4947.20682352889,-4945.18401753007,5.6497175141242e-4,0,5.6497175141242e-4,9890.36803506013,FALSE,FALSE,TRUE,1,0,0,1,-1.2849489799009461,2.7606630177397165,4.045611997640663,9893.12869807787,2.7606630177397165
SST,8,strong,1.3,0.75,1,5194.83700484527,5185.80319476483,5278.36948503666,-2597.41850242263,-2592.90159738242,-2639.18474251833,0.0096045197740113,0.0096045197740113,0.0745762711864407,5185.80319476483,FALSE,TRUE,FALSE,1,0,1,0,9.033810080440162,-83.53248019139028,-92.56629027183044,5185.80319476483,-92.56629027183044
SST,8,medium,0.7,0.75,1,5174.36994448094,5182.75072095794,5343.79300124007,-2587.18497224047,-2591.37536047897,-2671.89650062004,0.00847457627118644,0.00621468926553672,0.0451977401129944,5174.36994448094,TRUE,FALSE,FALSE,1,1,0,0,-8.380776476999927,-169.4230567591303,-161.04228028213038,5174.36994448094,-169.4230567591303
SST,5,strong,1.3,3,1,9556.60553899422,9544.11579780548,9554.79935891628,-4778.30276949711,-4772.05789890274,-4777.39967945814,0.00395480225988701,0.00338983050847458,0.00112994350282486,9544.11579780548,FALSE,TRUE,FALSE,1,0,1,0,12.489741188739572,1.8061800779396435,-10.683561110799928,9544.11579780548,-10.683561110799928
SST,5,weak,0.2,6,1,12240.9994376878,12229.0048503401,12237.9923305446,-6120.49971884389,-6114.50242517006,-6118.9961652723,0.00225988700564972,0,0,12229.0048503401,FALSE,TRUE,FALSE,1,0,1,0,11.994587347700872,3.0071071432012104,-8.987480204499661,12229.0048503401,-8.987480204499661
SST,5,medium,0.7,6,1,12893.4685937342,12886.5341775454,12891.2080577032,-6446.73429686712,-6443.26708877268,-6445.60402885162,0,0,0,12886.5341775454,FALSE,TRUE,FALSE,1,0,1,0,6.934416188800242,2.260536031000811,-4.673880157799431,12886.5341775454,-4.673880157799431
SST,5,strong,1.3,6,1,13472.2870285506,13470.0651078182,13471.1343389837,-6736.1435142753,-6735.03255390908,-6735.56716949185,0,0,0,13470.0651078182,FALSE,TRUE,FALSE,1,0,1,0,2.221920732399667,1.1526895668994257,-1.0692311655002413,13470.0651078182,-1.0692311655002413
SST,8,weak,0.2,1.5,1,7784.77933423737,7768.88597106317,7806.9859742848,-3892.38966711868,-3884.44298553158,-3903.4929871424,0.00451977401129944,0.00282485875706215,0.011864406779661,7768.88597106317,FALSE,TRUE,FALSE,1,0,1,0,15.893363174200204,-22.206640047430483,-38.100003221630686,7768.88597106317,-38.100003221630686
WST,3,weak,0.2,0.75,1,6509.31325300834,6510.8799678385,6503.96556945169,-3254.65662650417,-3255.43998391925,-3251.98278472584,5.6497175141242e-4,0,0,6503.96556945169,FALSE,FALSE,TRUE,1,0,0,1,-1.566714830159981,5.347683556650736,6.914398386810717,6509.31325300834,5.347683556650736
SST,8,medium,0.7,1.5,1,7569.47268346181,7571.40564860834,7768.96133084447,-3784.7363417309,-3785.70282430417,-3884.48066542223,0.00112994350282486,0.00395480225988701,0.0282485875706215,7569.47268346181,TRUE,FALSE,FALSE,1,1,0,0,-1.9329651465295683,-199.4886473826591,-197.55568223612954,7569.47268346181,-199.4886473826591
WST,3,medium,0.7,0.75,1,4883.17134595299,4879.89658716319,4877.51863972397,-2441.5856729765,-2439.94829358159,-2438.75931986199,0.00677966101694915,0.00790960451977401,0.0757062146892655,4877.51863972397,FALSE,FALSE,TRUE,1,0,0,1,3.2747587898002166,5.652706229019714,2.377947439219497,4879.89658716319,2.377947439219497
