gen_model,K_true,hierch,psi_mean,kappa_mean,n_reps,best_mean_model,ordered_best_model,looic_WST,looic_SST,looic_DC,dloo_WST_minus_SST,dloo_ordered_best_minus_DC,win_rate_WST,win_rate_SST,win_rate_DC,correct_model,correct_is_best,ordered_beats_DC
SST,8,medium,0.7,1.5,3,SST,SST,7595.60004350909,7588.290433220007,7759.9089656748665,7.309610289083139,-171.61853245485963,0.3333333333333333,0.3333333333333333,0.3333333333333333,SST,TRUE,TRUE
SST,8,medium,0.7,3,3,SST,SST,9751.691386679806,9735.77180901477,9825.286458490331,15.919577665035831,-89.51464947556087,0,1,0,SST,TRUE,TRUE
SST,8,medium,0.7,6,3,SST,SST,13137.219673907033,13120.6381980207,13343.2668643243,16.581475886332555,-222.62866630359895,0,1,0,SST,TRUE,TRUE
SST,8,strong,1.3,0.75,3,SST,SST,5251.399523480553,5237.9059687777935,5381.043195111487,13.493554702759866,-143.13722633369343,0,1,0,SST,TRUE,TRUE
SST,8,strong,1.3,1.5,3,SST,SST,7530.51411494473,7511.520943813247,7543.6398728851,18.993171131482995,-32.11892907185302,0.3333333333333333,0.6666666666666666,0,SST,TRUE,TRUE
SST,8,strong,1.3,3,3,SST,SST,10226.64642425783,10204.52065291138,10226.030148452333,22.125771346449255,-21.50949554095314,0,1,0,SST,TRUE,TRUE
SST,8,strong,1.3,6,3,SST,SST,12961.0014262552,12947.781215879368,13177.241721636934,13.220210375831812,-229.46050575756635,0.3333333333333333,0.6666666666666666,0,SST,TRUE,TRUE
SST,8,weak,0.2,0.75,3,SST,SST,5518.197331020643,5515.814025730827,5598.2528062280735,2.383305289816235,-82.43878049724663,0.6666666666666666,0,0.3333333333333333,SST,TRUE,TRUE
SST,8,weak,0.2,1.5,3,SST,SST,7677.213502263507,7663.776995044233,7785.373168937307,13.436507219273153,-121.59617389307368,0,1,0,SST,TRUE,TRUE
SST,8,weak,0.2,3,3,SST,SST,10587.349698530134,10578.8021298919,10786.4819217858,8.547568638234225,-207.67979189390098,0.3333333333333333,0.6666666666666666,0,SST,TRUE,TRUE
SST,8,weak,0.2,6,3,SST,SST,13080.290210444,13065.692357495333,13163.699963286066,14.597852948667423,-98.00760579073358,0,0.6666666666666666,0.3333333333333333,SST,TRUE,TRUE
