"gen_model","hierch","kappa_mean","K_true","fit_model","n_runs","mean_K_hat","sd_K_hat","prop_K_true","prop_K_under","prop_K_over","mean_ari","sd_ari","mean_vi","mean_elpd","sd_elpd","mean_pk_bad"
"SST",NA,6,5,"DC-SBM",4,5,0,1,0,0,1,0,0,-5972.5970142184,101.094697350729,0
"SST",NA,6,8,"SST",4,8,0,1,0,0,1,0,0,-5685.68620390263,175.95744076356,0
"SST",NA,6,8,"WST",4,8,0,1,0,0,1,0,0,-5849.75041369921,285.68543392794,0
"SST",NA,6,8,"DC-SBM",4,8,0,1,0,0,1,0,0,-5701.46682515835,179.432498616059,0
"WST","weak",0.75,3,"SST",4,2.25,0.957427107756338,0.5,0.5,0,0.846073415210317,0.244583863281248,0.788932006626447,-2766.62996975037,457.661853500461,0.00875706214689265
"WST","weak",0.75,3,"WST",4,3,1.63299316185545,0.5,0.25,0.25,0.8639007934157,0.20974324262491,0.843404701045722,-2754.57726649872,473.109837656743,0.00536723163841808
"WST","weak",0.75,3,"DC-SBM",4,45.75,28.5,0.25,0,0.75,0.23739067534688,0.47478135069376,3.28947958417771,-2880.49618658015,454.003168002868,0.0675141242937853
"WST","weak",0.75,5,"SST",4,3.5,2.64575131106459,0,0.75,0.25,0.900613132696621,0.114796756702954,1.2473647274266,-2534.08824045846,264.091112215753,0.0112994350282486
"WST","weak",0.75,5,"WST",4,3.25,2.21735578260835,0,0.75,0.25,0.90593813722814,0.118768107186214,1.22667388491142,-2524.70606219009,250.965438423935,0.00706214689265538
"WST","weak",0.75,5,"DC-SBM",4,60,0,0,0,1,0,0,3.58496250072116,-2728.1105497929,245.631321357548,0.0610169491525423
"WST","weak",0.75,8,"SST",4,8,5.09901951359278,0.25,0.5,0.25,0.572924809578691,0.088079590449642,1.62786645939422,-3660.37458427932,1745.79016877209,0.243079096045198
"WST","weak",0.75,8,"WST",4,7.75,2.06155281280883,0.5,0.25,0.25,0.506730062776273,0.0844897457824281,1.66377754321296,-2651.43387315421,160.411267614856,0.00790960451977401
"WST","weak",0.75,8,"DC-SBM",4,60,0,0,0,1,0,0,2.91009896362688,-2810.52246450902,140.465428115144,0.0659604519774011
"WST","weak",1.5,3,"SST",4,3,0,1,0,0,0.874850237087709,0.217975283278001,0.297812183227206,-3574.12402232347,326.994269973788,0.0168079096045198
"WST","weak",1.5,3,"WST",4,3.25,0.5,0.75,0,0.25,0.875115782098535,0.2174473699011,0.314185096590189,-3567.13392638524,332.193203000492,0.00889830508474576
"WST","weak",1.5,3,"DC-SBM",4,2.75,0.5,0.75,0.25,0,0.866191004023954,0.235197999378833,0.214700179678858,-3567.53874385512,338.072230579367,0.0146892655367232
"WST","weak",1.5,5,"SST",4,4.75,0.5,0.75,0.25,0,0.989303843364757,0.021392313270486,0.179469017655395,-3900.83990022159,312.961732260421,0.0110169491525424
"WST","weak",1.5,5,"WST",4,4.75,0.5,0.75,0.25,0,0.989303843364757,0.021392313270486,0.141883202211766,-3890.36116138005,305.975939052589,0.00706214689265537
"WST","weak",1.5,5,"DC-SBM",4,4.75,0.5,0.75,0.25,0,0.979072737018003,0.041854525963994,0.18326488724213,-3883.67267595911,305.33350888536,0.00833333333333334
"WST","weak",1.5,8,"SST",4,7.5,1,0.75,0.25,0,0.776159219941956,0.197679745851157,0.609920871178352,-3894.9229336368,179.475097084682,0.0371468926553672
"WST","weak",1.5,8,"WST",4,8,0,1,0,0,0.849342448412298,0.0827124157869018,0.448411668070092,-3870.49213638601,184.803350391597,0.0120056497175141
"WST","weak",1.5,8,"DC-SBM",4,6.75,0.5,0,1,0,0.755214945818347,0.156103642466475,0.675234835548648,-3881.77294407719,176.040835907691,0.00974576271186442
"WST","weak",3,3,"SST",4,2.25,0.957427107756338,0.5,0.5,0,1,0,0.562907291846957,-5269.82425437866,258.863455475137,0.00409604519774011
"WST","weak",3,3,"WST",4,2.25,0.957427107756338,0.5,0.5,0,1,0,0.562907291846957,-5264.24034571959,259.702451992709,0.00536723163841808
"WST","weak",3,3,"DC-SBM",4,2.25,0.957427107756338,0.5,0.5,0,1,0,0.562907291846957,-5263.11173418789,259.479696080024,0.00508474576271186
"WST","weak",3,5,"SST",4,4.75,0.5,0.75,0.25,0,0.934580130100532,0.130839739798935,0.1,-4942.30564373145,291.13648931632,0.00522598870056497
"WST","weak",3,5,"WST",4,5,0,1,0,0,0.979513888888889,0.040972222222222,0.0827633700607267,-4932.92183273967,294.024183410297,0.00353107344632768
"WST","weak",3,5,"DC-SBM",4,4.75,0.5,0.75,0.25,0,0.934580130100532,0.130839739798935,0.1,-4923.77667795894,288.293959909226,0.00169491525423729
"WST","weak",3,8,"SST",4,8,0,1,0,0,0.980657169380789,0.0223676619496738,0.0716135670286107,-4950.33757477806,32.6292622427961,0.0132768361581921
"WST","weak",3,8,"WST",4,8.25,0.5,0.75,0,0.25,0.975421385044104,0.0293159662371939,0.0897323818019307,-4935.8205542694,42.490936870556,0.00466101694915254
"WST","weak",3,8,"DC-SBM",4,7.5,1,0.75,0.25,0,0.88787364995237,0.198383781068531,0.230955736623437,-4950.42270586213,61.7196977209174,0.00282485875706215
"WST","weak",6,3,"SST",4,3,0,1,0,0,1,0,4.44089209850063e-16,-6289.63610096413,503.847858538542,0.00112994350282486
"WST","weak",6,3,"WST",4,3,0,1,0,0,1,0,4.44089209850063e-16,-6280.88333037676,511.578616657482,0.00141242937853107
"WST","weak",6,3,"DC-SBM",4,3,0,1,0,0,1,0,4.44089209850063e-16,-6280.19369316601,511.760762653759,0.00155367231638418
"WST","weak",6,5,"SST",4,5,0,1,0,0,1,0,0,-6181.55704319582,781.338350454581,0.00056497175141243
"WST","weak",6,5,"WST",4,5,0,1,0,0,1,0,0,-6153.70983851969,773.8316679638,0
"WST","weak",6,5,"DC-SBM",4,5,0,1,0,0,0.979513888888889,0.040972222222222,0.0827633700607267,-6158.54445712172,782.911052785808,0
