"gen_model","hierch","kappa_mean","K_true","fit_model","zetaW_blk_mean","zetaW_blk_lo","zetaW_blk_hi","zetaS_blk_mean","zetaS_blk_lo","zetaS_blk_hi","cov_block_emp_mean"
"WST","weak",1.5,3,"WST",0.968057887499326,0.944967716566654,0.993000637904076,0.389967413717046,0.090869860955224,0.641661021499258,0.568796031746032
"WST","weak",1.5,3,"DC-SBM",0.999110913536341,0.997599466548122,1,0.545454545454545,0.0636363636363637,0.963636363636364,0.501722222222222
"WST","weak",1.5,5,"SST",0.946908469170978,0.866214985801343,0.995153839454453,0.459570741791605,0.358485749515254,0.66130109792053,0.641878108465608
"WST","weak",1.5,5,"WST",0.94193822966072,0.867508175870012,0.99082624419532,0.433971826519186,0.354130012131045,0.596562569361995,0.624673412698413
"WST","weak",1.5,5,"DC-SBM",0.947966490299823,0.856037764550265,0.997630092592593,0.437501631393298,0.33845291005291,0.61582455026455,0.643591666666667
"WST","weak",1.5,8,"SST",0.865383636858115,0.777165925991362,0.936785346809773,0.402084356629269,0.302671445346456,0.498950426316722,0.52849196886991
"WST","weak",1.5,8,"WST",0.860487620788543,0.785343614506579,0.931091722660929,0.423909862246255,0.336050339940097,0.557768566515542,0.553877134439634
"WST","weak",1.5,8,"DC-SBM",0.805989678332188,0.580035602683624,0.933446032969454,0.42024236356884,0.201052543040976,0.633251494499502,0.556650595238095
"WST","weak",3,3,"SST",0.986111111111111,0.9625,1,0.45858216699537,0.0394004223160703,0.936271428571429,0.500205555555556
"WST","weak",3,3,"WST",0.999891984162399,0.999708357238477,1,0.408880084712749,0.0263984509466437,0.922022222222222,0.493158333333333
"WST","weak",3,3,"DC-SBM",1,1,1,0.5,0.05,0.95,0.5
"WST","weak",3,5,"SST",0.674950296795017,0.423983315316614,0.899377139391311,0.215746120986779,0.0384021853580238,0.451644793341879,0.469098412698413
"WST","weak",3,5,"WST",0.712232003958528,0.560670747030144,0.891001534391534,0.238720256483091,0.0253072398589065,0.468127878669795,0.500688492063492
"WST","weak",3,5,"DC-SBM",0.460667600696676,0.0673947617399331,0.709550970017636,0.165922156840122,7.78816199376948e-05,0.447366770508827,0.387933333333333
"WST","weak",3,8,"SST",0.939416324323458,0.839830386764055,0.995912167370471,0.39952022247947,0.256516869410019,0.612383527010356,0.624179396167128
"WST","weak",3,8,"WST",0.935920566087739,0.839251718423851,0.997134528158458,0.392051932023638,0.256910105202762,0.587796993820366,0.624972552910053
"WST","weak",3,8,"DC-SBM",0.934125891856218,0.835960604646966,0.997314632214058,0.407736248399461,0.253765873678104,0.649063585799282,0.641333134920635
"WST","weak",6,3,"SST",1,1,1,0.500513888888889,0.000308333333333334,1,0.75
"WST","weak",6,3,"WST",1,1,1,0.500083333333333,4.99999999999999e-05,1,0.750027777777778
"WST","weak",6,3,"DC-SBM",1,1,1,0.666666666666667,0.1,1,0.75
"WST","weak",6,5,"SST",0.999937875427949,0.999840628306878,1,0.214815263807543,0.000469118601986248,0.428571428571429,0.650317063492063
"WST","weak",6,5,"WST",0.999793670894284,0.999389869929453,1,0.215074129415429,0.00136094590322532,0.428568253968254,0.650594444444444
"WST","weak",6,5,"DC-SBM",1,1,1,0.214285714285714,0,0.428571428571429,0.65
"WST","weak",6,8,"SST",0.950854906740659,0.835033890922747,0.999983555263444,0.260307995135704,0.119781589570598,0.362037597432653,0.655902116402116
"WST","weak",6,8,"WST",0.951439477679745,0.835381830151415,0.99999798548869,0.259834131710507,0.119765210997191,0.361771940355089,0.656213955026455
"WST","weak",6,8,"DC-SBM",0.9330959746811,0.824373713840918,1,0.332739556905328,0.13769336193476,0.465692307692308,0.695527777777778
"WST","strong",0.75,3,"SST",1,1,1,0.0554583333333332,0.00355833333333333,0.107261111111111,0.999861111111111
"WST","strong",0.75,3,"WST",0.999993055555556,0.999976388888889,1,0.0330875,0.001425,0.0760219444444444,0.9996
"WST","strong",0.75,3,"DC-SBM",1,1,1,0.0173888888888889,0,0.0482333333333333,1
