"gen_model","fit_model_clean","K_true","hierch_label","kappa_mean","n","ari_mean","ari_sd","ari_median","ari_q25","ari_q75"
"SST","SST",8,"weak",0.75,4,0.670812852651566,0.298154452501653,0.679680571501009,0.487609356759645,0.862884067392929
"SST","SST",8,"weak",1.5,4,0.990004259685945,0.01999148062811,1,0.990004259685945,1
"SST","SST",8,"weak",3,4,1,0,1,1,1
"SST","SST",8,"weak",6,4,1,0,1,1,1
"SST","SST",8,"medium",0.75,4,0.702845888929029,0.252184451450756,0.681066801656689,0.520783793963999,0.863128896621719
"SST","SST",8,"medium",1.5,4,0.922775519882646,0.127443449682602,0.978532825775487,0.901308345658132,1
"SST","SST",8,"medium",3,4,0.990398000981482,0.019203998037036,1,0.990398000981482,1
"SST","SST",8,"medium",6,4,1,0,1,1,1
"SST","SST",8,"strong",0.75,4,0.819478276396291,0.148788413019453,0.849273693986916,0.769088334879304,0.899663635503903
"SST","SST",8,"strong",1.5,4,1,0,1,1,1
"SST","SST",8,"strong",3,4,1,0,1,1,1
"SST","SST",8,"strong",6,4,1,0,1,1,1
"SST","DCSBM",3,"weak",0.75,4,0.249530278429733,0.288433982938182,0.241459899505317,0,0.49099017793505
"SST","DCSBM",3,"weak",1.5,4,0.983679462081879,0.0326410758362415,1,0.983679462081879,1
"SST","DCSBM",3,"weak",3,4,0.98739067534688,0.0252186493062405,1,0.98739067534688,1
"SST","DCSBM",3,"weak",6,4,1,0,1,1,1
"SST","DCSBM",3,"medium",0.75,4,0.603904995387581,0.453644940622962,0.707809990775162,0.386400986031224,0.925314000131519
"SST","DCSBM",3,"medium",1.5,4,0.98739067534688,0.0252186493062405,1,0.98739067534688,1
"SST","DCSBM",3,"medium",3,4,0.975461868487873,0.0490762630242535,1,0.975461868487873,1
"SST","DCSBM",3,"medium",6,4,0.97478135069376,0.0291199879311135,0.97478135069376,0.949562701387519,1
"SST","DCSBM",3,"strong",0.75,4,1,0,1,1,1
"SST","DCSBM",3,"strong",1.5,4,0.98739067534688,0.0252186493062405,1,0.98739067534688,1
"SST","DCSBM",3,"strong",3,4,0.975461868487873,0.0490762630242535,1,0.975461868487873,1
"SST","DCSBM",3,"strong",6,4,1,0,1,1,1
"SST","DCSBM",5,"weak",0.75,4,0.409863409997826,0.473318805114013,0.40567989467745,0,0.815543304675276
"SST","DCSBM",5,"weak",1.5,4,0.935366670398218,0.0841844610179446,0.959218298353651,0.894584968751869,1
"SST","DCSBM",5,"weak",3,4,0.934580130100532,0.130839739798935,1,0.934580130100532,1
"SST","DCSBM",5,"weak",6,4,1,0,1,1,1
"SST","DCSBM",5,"medium",0.75,4,0.228632613214083,0.457265226428167,0,0,0.228632613214083
"SST","DCSBM",5,"medium",1.5,4,1,0,1,1,1
"SST","DCSBM",5,"medium",3,4,1,0,1,1,1
"SST","DCSBM",5,"medium",6,4,1,0,1,1,1
"SST","DCSBM",5,"strong",0.75,4,0.968817732253646,0.0393957737003086,0.978607686729514,0.94742541898316,1
"SST","DCSBM",5,"strong",1.5,4,0.959285683747988,0.0566196096337082,0.978607686729514,0.937893370477501,1
"SST","DCSBM",5,"strong",3,4,0.989303843364757,0.021392313270486,1,0.989303843364757,1
"SST","DCSBM",5,"strong",6,4,1,0,1,1,1
"SST","DCSBM",8,"weak",0.75,4,0.42753701948577,0.507660871213303,0.355074038971541,0,0.782611058457311
"SST","DCSBM",8,"weak",1.5,4,0.990004259685945,0.01999148062811,1,0.990004259685945,1
"SST","DCSBM",8,"weak",3,4,1,0,1,1,1
"SST","DCSBM",8,"weak",6,4,1,0,1,1,1
"SST","DCSBM",8,"medium",0.75,4,0.655448434572089,0.445970524001752,0.810896869144178,0.606315618573439,0.860029685142829
"SST","DCSBM",8,"medium",1.5,4,0.919754447517767,0.109802460898856,0.95583135579304,0.875585803310807,1
"SST","DCSBM",8,"medium",3,4,1,0,1,1,1
"SST","DCSBM",8,"medium",6,4,1,0,1,1,1
"SST","DCSBM",8,"strong",0.75,4,0.800468163187721,0.165223416810504,0.80251747925039,0.73800352086481,0.864982121573301
"SST","DCSBM",8,"strong",1.5,4,0.961145867632532,0.077708264734936,1,0.961145867632532,1
"SST","DCSBM",8,"strong",3,4,1,0,1,1,1
"SST","DCSBM",8,"strong",6,4,0.956372375333138,0.0872552493337235,1,0.956372375333138,1
"WST","WST",3,"weak",0.75,4,0.8639007934157,0.20974324262491,0.948963055427808,0.812863848843508,1
"WST","WST",3,"weak",1.5,4,0.875115782098535,0.2174473699011,0.97478135069376,0.849897132792295,1
"WST","WST",3,"weak",3,4,1,0,1,1,1
"WST","WST",3,"weak",6,4,1,0,1,1,1
"WST","WST",3,"medium",0.75,4,0.873284378916221,0.121729499394008,0.87639014017777,0.787502493053351,0.962172026040639
"WST","WST",3,"medium",1.5,4,0.950544231653637,0.0571085537351639,0.950833333333333,0.90137756498697,1
"WST","WST",3,"medium",3,4,0.97478135069376,0.0291199879311135,0.97478135069376,0.949562701387519,1
"WST","WST",3,"medium",6,4,1,0,1,1,1
"WST","WST",3,"strong",0.75,4,0.97478135069376,0.0291199879311135,0.97478135069376,0.949562701387519,1
"WST","WST",3,"strong",1.5,4,0.953506698187549,0.0929866036249015,1,0.953506698187549,1
