"gen_model","fit_model_clean","K_true","hierch_label","kappa_mean","n","vi_mean","vi_sd","vi_median","vi_q25","vi_q75"
"SST","SST",8,"strong",6,4,0,0,0,0,0
"SST","DCSBM",3,"weak",0.75,4,2.61411717087104,1.98169345641073,2.73393696096506,1.02612603694874,4.32192809488736
"SST","DCSBM",3,"weak",1.5,4,0.210456437522409,0.420912875044818,4.44089209850063e-16,4.44089209850063e-16,0.210456437522409
"SST","DCSBM",3,"weak",3,4,0.0480335130121913,0.0960670260243818,4.44089209850063e-16,4.44089209850063e-16,0.0480335130121913
"SST","DCSBM",3,"weak",6,4,0.166666666666667,0.333333333333333,4.44089209850063e-16,4.44089209850063e-16,0.166666666666667
"SST","DCSBM",3,"medium",0.75,4,1.73915565476698,1.79663597982974,1.12581458369391,0.595766339198184,2.26920389926271
"SST","DCSBM",3,"medium",1.5,4,0.0480335130121913,0.0960670260243818,4.44089209850063e-16,4.44089209850063e-16,0.0480335130121913
"SST","DCSBM",3,"medium",3,4,0.0793701899335793,0.158740379867158,4.44089209850063e-16,4.44089209850063e-16,0.0793701899335793
"SST","DCSBM",3,"medium",6,4,0.0960670260243822,0.110928646670847,0.0960670260243822,4.44089209850063e-16,0.192134052048764
"SST","DCSBM",3,"strong",0.75,4,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16
"SST","DCSBM",3,"strong",1.5,4,0.0480335130121913,0.0960670260243818,4.44089209850063e-16,4.44089209850063e-16,0.0480335130121913
"SST","DCSBM",3,"strong",3,4,0.0793701899335793,0.158740379867158,4.44089209850063e-16,4.44089209850063e-16,0.0793701899335793
"SST","DCSBM",3,"strong",6,4,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16
"SST","DCSBM",5,"weak",0.75,4,2.06937954198736,1.75235580835352,2.12447697613098,0.608894017397174,3.58496250072116
"SST","DCSBM",5,"weak",1.5,4,0.282657424362936,0.406734977298992,0.13403073299944,0,0.416688157362377
"SST","DCSBM",5,"weak",3,4,0.1,0.2,0,0,0.1
"SST","DCSBM",5,"weak",6,4,0,0,0,0,0
"SST","DCSBM",5,"medium",0.75,4,2.7724882799644,1.62494844151351,3.58496250072116,2.7724882799644,3.58496250072116
"SST","DCSBM",5,"medium",1.5,4,0,0,0,0,0
"SST","DCSBM",5,"medium",3,4,0,0,0,0,0
"SST","DCSBM",5,"medium",6,4,0,0,0,0,0
"SST","DCSBM",5,"strong",0.75,4,0.224646572272493,0.178698366981912,0.249293144544985,0.125649606635298,0.34829011018218
"SST","DCSBM",5,"strong",1.5,4,0.149632411474291,0.203524020967985,0.083766404423532,0,0.233398815897823
"SST","DCSBM",5,"strong",3,4,0.041883202211766,0.083766404423532,0,0,0.041883202211766
"SST","DCSBM",5,"strong",6,4,0,0,0,0,0
"SST","DCSBM",8,"weak",0.75,4,1.67499494999748,1.47070683343434,1.89494041818153,0.659836404552131,2.91009896362688
"SST","DCSBM",8,"weak",1.5,4,0.036129310262738,0.072258620525476,0,0,0.036129310262738
"SST","DCSBM",8,"weak",3,4,0,0,0,0,0
"SST","DCSBM",8,"weak",6,4,0,0,0,0,0
"SST","DCSBM",8,"medium",0.75,4,0.99487364851496,1.30349572228258,0.53469781521648,0.334113199415008,1.19545826431643
"SST","DCSBM",8,"medium",1.5,4,0.182298732862165,0.217287267695088,0.149302600333893,0,0.331601333196058
"SST","DCSBM",8,"medium",3,4,0,0,0,0,0
"SST","DCSBM",8,"medium",6,4,0,0,0,0,0
"SST","DCSBM",8,"strong",0.75,4,0.50440662839816,0.513857725607451,0.397964009309626,0.285973006982219,0.616397630725567
"SST","DCSBM",8,"strong",1.5,4,0.120632810332186,0.13944526056147,0.116666666666667,0,0.237299476998852
"SST","DCSBM",8,"strong",3,4,0,0,0,0,0
"SST","DCSBM",8,"strong",6,4,0.0666666666666667,0.133333333333333,0,0,0.0666666666666667
"WST","WST",3,"weak",0.75,4,0.843404701045722,0.771235812059031,0.894328151730864,0.289060149961394,1.44867270281519
"WST","WST",3,"weak",1.5,4,0.314185096590189,0.5084135591348,0.0960670260243822,4.44089209850063e-16,0.41025212261457
"WST","WST",3,"weak",3,4,0.562907291846957,0.750353715763176,0.333333333333334,4.44089209850063e-16,0.89624062518029
"WST","WST",3,"weak",6,4,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16
"WST","WST",3,"medium",0.75,4,0.755354594893532,0.589101443528509,0.622160913402102,0.507663461187743,0.869852047107891
"WST","WST",3,"medium",1.5,4,0.191216151676148,0.220797883254905,0.190931304743971,4.44089209850063e-16,0.382147456420118
"WST","WST",3,"medium",3,4,0.0960670260243822,0.110928646670847,0.0960670260243822,4.44089209850063e-16,0.192134052048764
"WST","WST",3,"medium",6,4,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16
"WST","WST",3,"strong",0.75,4,0.0960670260243822,0.110928646670847,0.0960670260243822,4.44089209850063e-16,0.192134052048764
"WST","WST",3,"strong",1.5,4,0.150577134640758,0.301154269281516,4.44089209850063e-16,4.44089209850063e-16,0.150577134640758
"WST","WST",3,"strong",3,4,0.0480335130121913,0.0960670260243818,4.44089209850063e-16,4.44089209850063e-16,0.0480335130121913
"WST","WST",3,"strong",6,4,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16
"WST","WST",5,"weak",0.75,4,1.22667388491142,1.14857965963788,1.25100203734879,0.320690842515182,2.15698507974502
"WST","WST",5,"weak",1.5,4,0.141883202211766,0.189335566090762,0.083766404423532,0,0.225649606635298
"WST","WST",5,"weak",3,4,0.0827633700607267,0.165526740121453,0,0,0.0827633700607267
"WST","WST",5,"weak",6,4,0,0,0,0,0
"WST","WST",5,"medium",0.75,4,0.798921338741822,0.739380732381624,0.70295802943935,0.506146933976844,0.995732434204329
"WST","WST",5,"medium",1.5,4,0.516521101957659,0.518879132553793,0.483766404423532,0.125649606635298,0.874637899745893
"WST","WST",5,"medium",3,4,0,0,0,0,0
"WST","WST",5,"medium",6,4,0,0,0,0,0
"WST","WST",5,"strong",0.75,4,0.938149732765487,0.732032572828529,1.06090570667811,0.548290110182181,1.45076532926142
"WST","WST",5,"strong",1.5,4,0.1,0.2,0,0,0.1
"WST","WST",5,"strong",3,4,0,0,0,0,0
"WST","WST",5,"strong",6,4,0,0,0,0,0
"WST","WST",8,"weak",0.75,4,1.66377754321296,0.492554862413037,1.6047854072385,1.42681015295037,1.84175279750109
"WST","WST",8,"weak",1.5,4,0.448411668070092,0.22696068474983,0.498796221560542,0.343471141551792,0.603736748078842
"WST","WST",8,"weak",3,4,0.0897323818019307,0.107377942565565,0.0724752590932795,0,0.16220764089521
"WST","WST",8,"weak",6,4,0,0,0,0,0
"WST","WST",8,"medium",0.75,4,1.57026734583179,0.718651586545718,1.49619432949514,0.975821270803837,2.09064040452308
"WST","WST",8,"medium",1.5,4,0.109195025398002,0.17347090741868,0.0362376295466396,0,0.145432654944642
"WST","WST",8,"medium",3,4,0.0318144667641655,0.063628933528331,0,0,0.0318144667641655
