# source, target, time, date
10,13,112,2010
10,13,115,2010
10,17,117,2010
10,17,118,2010
10,17,119,2010
10,13,126,2010
10,6,146,2010
10,12,147,2010
10,4,148,2010
10,12,150,2010
10,12,151,2010
10,12,152,2010
10,12,153,2010
10,4,155,2010
10,12,156,2010
10,12,161,2010
10,12,162,2010
10,12,163,2010
10,4,166,2010
10,12,184,2010
10,12,185,2010
10,12,187,2010
10,12,188,2010
10,15,190,2010
10,13,200,2010
10,15,204,2010
10,15,206,2010
10,14,310,2011
10,5,333,2011
10,5,334,2011
10,17,357,2011
10,17,358,2011
10,17,359,2011
10,12,366,2011
10,14,377,2011
10,14,378,2011
10,14,379,2011
10,4,383,2011
10,17,390,2011
10,14,405,2011
10,14,406,2011
10,14,407,2011
10,14,408,2011
10,14,409,2011
10,14,421,2011
10,12,507,2011
10,17,595,2012
10,17,596,2012
10,17,597,2012
10,17,598,2012
10,17,648,2012
10,17,649,2012
10,17,650,2012
10,17,651,2012
10,17,659,2012
10,17,660,2012
10,17,661,2012
10,17,662,2012
10,17,663,2012
10,17,664,2012
10,17,665,2012
10,17,666,2012
10,14,668,2012
10,14,669,2012
10,6,674,2012
10,6,680,2012
10,6,681,2012
10,6,682,2012
10,6,683,2012
10,6,684,2012
10,21,715,2012
10,21,716,2012
10,2,719,2012
10,14,763,2012
10,2,766,2012
10,6,775,2012
10,6,776,2012
10,14,779,2012
10,2,803,2012
10,2,804,2012
10,14,818,2012
10,11,872,2013
10,11,873,2013
10,11,874,2013
10,14,881,2013
10,23,966,2013
10,23,967,2013
10,14,981,2013
10,14,982,2013
10,2,987,2013
10,15,988,2013
10,20,1132,2014
10,2,1133,2014
10,20,1137,2014
10,2,1138,2014
10,2,1139,2014
10,6,1162,2014
10,6,1163,2014
10,22,1168,2014
10,22,1169,2014
10,22,1170,2014
10,22,1171,2014
10,16,1178,2014
10,14,1179,2014
10,14,1180,2014
10,24,1240,2015
10,22,1247,2015
10,22,1250,2015
10,22,1252,2015
10,2,1263,2015
10,24,1291,2015
10,24,1292,2015
10,24,1293,2015
10,24,1294,2015
10,11,1295,2015
10,11,1296,2015
10,12,1305,2015
10,29,1360,2015
10,29,1361,2015
10,26,1394,2015
10,26,1395,2015
10,14,1495,2015
10,22,1543,2015
10,6,1593,2016
10,6,1599,2016
10,34,1609,2016
10,33,1613,2016
10,33,1615,2016
10,32,1631,2016
10,32,1632,2016
10,32,1633,2016
10,32,1634,2016
10,32,1635,2016
10,32,1636,2016
