gen_model,hierch,psi_mean,K_true,kappa_mean,model,n,ari_mean,ari_sd,nvi_mean,vi_mean,exact_K,mean_K_hat,elpd_mean,looic_mean,psis_tail_mean,best_elpd_rate,violation_rate,thetaW_block_emp,thetaS_block_emp
SST,strong,1.3,8,1.5,WST,4,0.994900076066662,0.010199847866675993,0.006039604924439925,0.018118814773319777,0.75,8.25,-3679.736181074102,7359.472362148204,0.008192090395480226,0.75,0.37020198989450476,0.9840842025596905,0.6834941264066452
SST,strong,1.3,8,3,DCSBM,4,1,0,0,0,1,8,-5099.7407130977645,10199.481426195525,0.002401129943502825,0.5,0.37509377924494874,1,0.7851577673143847
SST,strong,1.3,8,3,SST,4,0.6466488162190187,0.16489625775892183,0.4510928656483076,1.3532785969449228,0,4,-5563.19365000224,11126.387300004475,0.01355932203389831,0,0.3744044247398765,0.9999716842224486,0.8352468371566053
SST,strong,1.3,8,3,WST,4,1,0,0,0,1,8,-5099.572674771195,10199.145349542398,0.00310734463276836,0.5,0.37215024352105974,1,0.7871806998353494
SST,strong,1.3,8,6,DCSBM,4,0.930928754599175,0.07975660425085801,0.038888888888888834,0.1166666666666665,0.5,7.5,-6631.6875263788525,13263.375052757725,0,0.5,0.353069257670828,1,0.9094047619047617
SST,strong,1.3,8,6,SST,4,0.7620891031315647,0.18179214904619773,0.5170165797248558,1.5510497391745675,0,3.5,-7757.29731837351,15514.594636747024,0.010028248587570624,0,0.36159451656618447,1,0.675
SST,strong,1.3,8,6,WST,4,1,0,0,0,1,8,-6550.742956202637,13101.485912405275,2.8248587570621497e-4,0.5,0.3525995017498512,1,0.9082142857142858
SST,weak,0.2,3,0.75,DCSBM,4,0.8707299497526585,0.258540100494683,0.4307528295655829,0.6827270819409803,0.5,2.25,-3127.468117142405,6254.93623428481,0.02344632768361582,0.5,0.48427616113272126,1,0.99642617824436
SST,weak,0.2,3,0.75,SST,4,0.870779339295492,0.258441321409016,0.42276391434493016,0.6700649508948052,0.5,2.25,-3135.0179584463826,6270.0359168927625,0.0014124293785310752,0.25,0.4748230403095178,0.9997359896292131,0.99495947292879094
SST,weak,0.2,3,0.75,WST,4,0.963565916890725,0.07286816621855002,0.32997226873277863,0.5229936722193382,0.75,2.5,-3127.5358142355526,6255.0716284711025,0.00480225988700565,0.25,0.466098544784839,0.9530032095369096,0.7920177346703803
