source_file,gen_model,K_true,density,hierch,rep_id,scenario_id,theta_ocrp,dgp_partition,comparison,block_low,block_high,block_pair,block_distance,n_dyads,sum_delta,se_delta,z_abs,significant_2se,mean_delta,positive_fraction,mean_Nij,mean_Aij,mean_Aji,mean_total_edges,mean_net_edges
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,4,4,4-4,0,10,-0.12520293894416296,1.3531458188169372,0.09252730725918998,FALSE,-0.012520293894416307,0.7,0.4,0.3,0.10000000000000002,0.4,0.20000000000000004
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,1,5,1-5,4,9,0.0662552997105904,0.07344040004627138,0.9021641993895188,FALSE,0.007361699967843376,0.6666666666666666,1.1111111111111112,0.22222222222222215,0.8888888888888888,1.1111111111111112,-0.6666666666666666
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,SST_minus_DC,1,3,1-3,2,51,0.023834226679413,0.472216484902694,0.050473093255785716,FALSE,4.6733777802770467e-4,0.45098039215686275,0.3529411764705882,0.1568627450980392,0.19607843137254896,0.3529411764705882,-0.039215686274509824
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,WST_minus_DC,3,7,3-7,4,68,-4.676769091421605,1.4436339070959718,3.23958107968622,TRUE,-0.06877601605031772,0.4264705882352941,1.2794117647058822,0.7352941176470589,0.5441176470588236,1.2794117647058822,0.19117647058823514
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,WST_minus_DC,2,4,2-4,2,20,3.8880286325962494,0.3824165133611727,10.166999846380081,TRUE,0.1944014316298125,1,0.1,0.04999999999999999,0.049999999999999996,0.1,0
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,WST_minus_DC,7,8,7-8,1,32,-2.29825911847701,0.5196876280786418,4.422385668433164,TRUE,-0.07182059745240657,0.34375,0.90625,0.375,0.53125,0.90625,-0.15625
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,WST_minus_DC,3,6,3-6,3,340,-2.1489925955629063,0.37266604419476723,5.7665371692403875,TRUE,-0.006320566457537954,0.2,0.35000000000000014,0.11764705882352947,0.23235294117647054,0.35000000000000014,-0.1147058823529412
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,WST_minus_DC,2,8,2-8,6,32,2.1089896519508398,1.3499971176524888,1.5622178924486623,FALSE,0.06590592662346373,0.84375,0.15625,0.125,0.03125,0.15625,0.09375
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,WST_minus_DC,6,8,6-8,2,160,-1.9298981488222862,0.8227385564584364,2.3457003852228993,TRUE,-0.01206186343013929,0.44375,1.26875,0.8812500000000001,0.38749999999999996,1.26875,0.4937499999999999
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,WST_minus_DC,1,2,1-2,1,12,1.7364821834919937,2.6187043121722855,0.6631073907124455,FALSE,0.1447068486243328,0.5,1.25,0.8333333333333333,0.41666666666666663,1.25,0.4166666666666667
